name,networth,education
Charles_Mbire,200000000,University of Essex
Charles_Mbire,200000000,University of Leicester
Charles_R._Schwab,5.30E+09,Stanford University
Charles_Sirois,8.11E+08,Laval University
Charles_Sirois,8.11E+08,Université de Sherbrooke
"Charles_W._Engelhard,_Jr.",2.50E+08,University of Oxford
Charlie_Munger,1.21E+09,California Institute of Technology
Charlie_Munger,1.21E+09,University of Michigan
Charlie_Munger,1.21E+09,Berkshire Hathaway
Charlie_Munger,1.21E+09,Wesco Financial
Charlie_Munger,1.21E+09,Daily Journal Corporation
Charlie_Munger,1.21E+09,Harvard Law School
Chase_Coleman_III,2.30E+09,Deerfield Academy
Chen_Fashu,3.00E+09,China Europe International Business School
Chen_Guangbiao,4.00E+08,Master of Business Administration
Chen_Guangbiao,4.00E+08,Peking University
Chen_Guangbiao,4.00E+08,Tsinghua University
Chen_Guangbiao,4.00E+08,Nanjing University
Chen_Guangbiao,4.00E+08,Nanjing University of Chinese Medicine
Chen_Jianqiang,7.80E+08,Master of Business Administration
Chen_Jianqiang,7.80E+08,China Europe International Business School
Cheng_Wai_Keung,7.55E+08,University of Chicago
Cheng_Wai_Keung,7.55E+08,Indiana University
Cher_Wang,8.80E+09,University of California
Chey_Tae-won,4.20E+09,University of Chicago
Chris_Evans_(presenter),5.00E+07,University Academy Warrington
Chris_Evans_(presenter),5.00E+07,Sir Thomas Boteler Church of England High School
Chris_Hohn,1.10E+09,University of Southampton
Chris_Hohn,1.10E+09,Harvard Business School
Chris_Rokos,800000000,University of Oxford
Chris_Rokos,800000000,Eton College
Christoffel_Wiese,5.30E+09,Paarl Boys' High School
Chung_Mong-koo,6.80E+09,Hanyang University
Chung_Mong-koo,6.80E+09,Hanyang University
Chung_Yong-jin,1.30E+09,Brown University
C._Dean_Metropoulos,2.40E+09,Babson College
Craig_McCaw,1.84E+09,Stanford University
Craig_Newmark,4.00E+08,Case Western Reserve University
Crispin_Odey,1.10E+09,Christ Church Oxford
Cyrus_S._Poonawalla,8.50E+09,Brihan Maharashtra College of Commerce
Caleb_Chan,9.80E+08,University of California Berkeley
Caleb_Chan,9.80E+08,University of San Francisco
Cargill_MacMillan_Jr,2.60E+09,Yale University
Carl_Bennet,2.80E+09,University of Gothenburg
Carl_Icahn,1.70E+10,Princeton University
Carl_Icahn,1.70E+10,New York University School of Medicine
Carlos_Bulgheroni,5.10E+09,University of Buenos Aires
Carlos_Slim,5.30E+10,Civil engineering
