networth,education
100.0,Farnworth Grammar School
511000.0,Manchester Grammar School
1.07E10,Pretoria Boys High School
2850000.0,Chemistry
6.0,Master of Arts
6.7E9,Lycée_de_l'Immaculée-Conception
5.5E9,De La Salle University
1.7E9,University of Michigan
1.03E10,Princeton University
1.5E8,The Hill School
2.1E9,Stanford University
2.0E10,Trinity College Cambridge
3.0E9,Economics
1.14E9,Manipal Institute of Technology
1.67E9,Winckley Square
4.0E8,Political science
1.5E9,Princeton University
1.9E9,Clark University
1.2E9,University of Iowa
1.7E7,Westminster School
3.3E7,Leeds West Academy
8.65E8,Royal Grammar School High Wycombe
1.25E9,University of Oklahoma
"['2.25E8', '1.91E8']",Brother Rice High School (Chicago)
1.6E9,Georgetown University
2.2E9,Carroll University
5.7E9,Institut Le Rosey
1.0E9,Fashion Institute of Technology
1.85E8,Westminster School
2.4E9,Casimirianum Coburg
1.7E8,Sherborne School
3.2E9,Ibadan Grammar School
1.8E9,Dulwich College
2.1E9,City of London School
1.36E9,Vassar College
1.25E9,De La Salle College Dundalk
2.57E8,Christ's College Cambridge
1.45E9,Fairfield Grammar School
1.52E10,Jefferson Union High School District
3.0E9,Saint Petersburg State University
1.4E9,University of Tokyo
5.073E8,Finance
4.1E9,University of Memphis
5.9E9,Deutsche Schule der Borromäerinnen Kairo
1.9E9,Harvard University
3.7E9,Potchefstroom High School for Boys
1.35E9,Wharton School of the University of Pennsylvania
1.1E9,University of Exeter
1.6E9,Drexel University
2.0E8,Mill Hill School
15.0,Middle Ages
2.2E9,University of Saskatchewan
1.5E9,Baghdad College
8.1E9,Washington University in St. Louis
2.0E9,Harvard College
1.63E10,Imperial College London
2.9E9,Booth School of Business
1.71E9,University of Oregon
2.2E9,Brother Martin High School
3.9E8,California State University Sacramento
3.9E9,St. Gregory's University
2.9E9,Met Film School
2.3E8,Epsom College
1.42E9,Columbia University
2.6E9,Chiang Kai Shek College
1.0E9,University of Pennsylvania
8.5E7,Fontana High School
5.2E9,Highland Park High School (University Park Texas)
2.2E9,The McCallie School
1.0E9,University of the Witwatersrand
5.3E9,Stanford University
2.3E9,Deerfield Academy
"['4.0E8', '8.1E8']",Master of Business Administration
7.8E8,Master of Business Administration
7.55E8,University of Chicago
8.8E9,University of California
4.2E9,University of Chicago
5.0E7,University Academy Warrington
"['1.1E9', '6.57E8']",University of Southampton
1.0,University of Oxford
5.3E9,Paarl Boys' High School
6.8E9,Hanyang University
5.3E10,Civil engineering
3.55E8,Indiana University of Pennsylvania
1.34E10,Rijnlands Lyceum Foundation
4.6E9,Yale University
1.1E9,Bucknell University
1.08E10,University of Pennsylvania
3.5E9,Juris Doctor
2.6E9,University of Washington
1.76E9,Trinity College (Connecticut)
1.0E9,Pangbourne College
4.33E10,Chemical engineering
3.0E9,Doctor of Philosophy
1.0E9,Uppingham School
1500000.0,Wayne Memorial High School
62.0,St Cuthbert's High School
1.0E9,Businessperson
2.7E9,Ion Mincu University of Architecture and Urbanism
4.8E9,Moscow State University
1.0E9,Bachelor of Arts
7.5E7,University of California
2.0E9,Michigan State University
1.4E7,California State University Northridge
1.8E9,Reed College
1.1E8,Repton School
6.8E8,Ateneo de Manila University
2.8E9,Carnegie Mellon University
2.0E9,Bucknell University
1.6E9,Vanderbilt University
1.9E9,INSEAD
1.2E9,Buckley School (California)
1.5E8,Eton College
6.0E9,Washington and Lee University
2.1E9,Redwood High School (Larkspur California)
1.89E9,University of Madras
1.0E9,University of Southampton
1.2E9,Carnegie Mellon University
5.3E9,Southern Methodist University
1.63E10,Harvard Business School
8.0E9,Tulane University
2.6E9,St Paul's School London
1.0E8,University of Colorado Boulder
5.5E9,Madrid
1.9E9,Chartered accountant
5.6E9,Baruch College
2.25E8,Universiti Teknologi MARA
4.3E9,Northwestern University
3.0E9,European Business School London
1.0E7,University of Huddersfield
3.86E8,Wharton School of the University of Pennsylvania
1.0E9,Bradford Grammar School
1.8E9,Boston University
2.6E9,St. Joseph's Institution Singapore
6.7E9,Karlsruhe Institute of Technology
1.35E9,Master of Science
