name,networth,education
Alan_Leventhal,1.0E9,Northwestern University
Alastair_Salvesen,1.0E9,Fettes College
Qasim_Ibrahim,6.0E8,Honorary_Degree_Doctor_of_Entrepreneurship
Yashoda_Naidoo,1800000.0,University of Natal
Yashoda_Naidoo,1800000.0,University of South Africa
Yoshikazu_Tanaka,1.9E9,Nihon University
Şevket_Sabancı,7.0,Textile manufacturing
Edgar_E._Rand,2523854.0,Webb School (Bell Buckle Tennessee)
Edmund_Ansin,1.4E9,University of Pennsylvania
Edmund_Ansin,1.4E9,Wharton School of the University of Pennsylvania
Edward_Harkness,1.55E8,St Paul's School London
Edward_Harkness,1.55E8,Columbia Law School
Edward_Harkness,1.55E8,Yale College
"Edward_J._DeBartolo,_Jr.",2.7E9,University of Notre Dame
"Edward_Johnson,_III",7.5E9,Milton Academy
"Edward_Johnson,_III",7.5E9,Tabor Academy (Massachusetts)
Edward_Julius_Berwind,3.5E7,United States Naval Academy
Edward_W._Stack,1.15E9,St. John Fisher College
Edwin_Davies,100.0,Farnworth Grammar School
Ellis_Abraham_Franklin,511000.0,Manchester Grammar School
Elon_Musk,1.07E10,Pretoria Boys High School
Elon_Musk,1.07E10,Waterkloof House Preparatory School
Elwood_Haynes,2850000.0,Chemistry
Elwood_Haynes,2850000.0,Metallurgy
Elwood_Haynes,2850000.0,Biology
Emil_Hurezeanu,6.0,Master of Arts
Emmanuel_Besnier,6.7E9,Lycée_de_l'Immaculée-Conception
Enrique_K._Razon,5.5E9,De La Salle University
Enrique_K._Razon,5.5E9,Business administration
Eric_Lefkofsky,1.7E9,University of Michigan
Eric_Schmidt,1.03E10,Princeton University
Eric_Schmidt,1.03E10,University of California Berkeley
Eric_Trump,1.5E8,The Hill School
Eric_Trump,1.5E8,Trinity School (New York City)
Evan_Spiegel,2.1E9,Stanford University
Evelyn_Robert_de_Rothschild,2.0E10,Trinity College Cambridge
Evelyn_Robert_de_Rothschild,2.0E10,Harrow School
Luis_Carlos_Sarmiento,1.25E10,Civil engineer
Lukas_Walton,11.0,Journeys School
L._Ron_Hubbard,6.0E8,George Washington University
Larry_Robbins,2.3E9,University of Pennsylvania
Lauren_Conrad,2.5E7,Laguna Beach High School
Lee_Bass,1.96E9,Yale University
Lee_Bass,1.96E9,Wharton School of the University of Pennsylvania
Leon_Black,4.5E9,Dartmouth College
Leon_Black,4.5E9,Harvard Business School
Leonard_Blavatnik,1.68E10,Columbia University
Leonard_Blavatnik,1.68E10,Moscow State University of Railway Engineering
Leonard_Blavatnik,1.68E10,Harvard University
Leonard_Schleifer,1.0E9,University of Virginia
Leonard_Schleifer,1.0E9,Cornell University
Li_Ka-shing,3.01E10,High school dropouts
Li_Yong_(television_host),5.0E8,Communication University of China
Li_Zhongchu,4.0E9,Bachelor of Science
Wang_Jianlin,2.91E10,Liaoning University
Warren_Buffett,6.1E10,Economics
Warren_Buffett,6.1E10,Master of Science
Wilbur_Ross,2.9E9,Yale University
Wilbur_Ross,2.9E9,Xavier High School (New York City)
Wilbur_Ross,2.9E9,Harvard Business School
"William_Backhouse_Astor,_Jr.",7.2E7,Columbia College Columbia University
"William_Clay_Ford,_Sr.",1.4E9,Yale University
"William_Clay_Ford,_Sr.",1.4E9,Hotchkiss School
"William_E._Conway,_Jr.",2.5E9,Dartmouth College
"William_E._Conway,_Jr.",2.5E9,Booth School of Business
William_Thomas_Stead,13000.0,Silcoates School
"William_Wrigley,_Jr._II",2.6E9,Phoenix Country Day School
Willis_Sharpe_Kilmer,10.0,Cornell University
Jessie_Ball_duPont,4.2E7,Longwood University
Jim_Breyer,2.0E9,Stanford University
Jim_Breyer,2.0E9,Harvard University
Jim_Buckmaster,4.0E7,University of Michigan
Jim_Buckmaster,4.0E7,Virginia Tech
