name,networth,education
Charles_Mbire,200.0,University of Essex
Charles_Mbire,200.0,University of Leicester
Charles_R._Schwab,5.3E9,Stanford University
Charles_Sirois,8.11E8,Laval University
Charles_Sirois,8.11E8,Université de Sherbrooke
"Charles_W._Engelhard,_Jr.",2.5E8,University of Oxford
Charlie_Munger,1.21E9,California Institute of Technology
Charlie_Munger,1.21E9,University of Michigan
Charlie_Munger,1.21E9,Berkshire Hathaway
Charlie_Munger,1.21E9,Wesco Financial
Charlie_Munger,1.21E9,Daily Journal Corporation
Charlie_Munger,1.21E9,Harvard Law School
Chase_Coleman_III,2.3E9,Deerfield Academy
Chen_Fashu,3.0E9,China Europe International Business School
Chen_Guangbiao,4.0E8,Master of Business Administration
Chen_Guangbiao,4.0E8,Peking University
Chen_Guangbiao,4.0E8,Tsinghua University
Chen_Guangbiao,4.0E8,Nanjing University
Chen_Guangbiao,4.0E8,Nanjing University of Chinese Medicine
Chen_Jianqiang,7.8E8,Master of Business Administration
Chen_Jianqiang,7.8E8,China Europe International Business School
Cheng_Wai_Keung,7.55E8,University of Chicago
Cheng_Wai_Keung,7.55E8,Indiana University
Cher_Wang,8.8E9,University of California
Chey_Tae-won,4.2E9,University of Chicago
Chris_Evans_(presenter),5.0E7,University Academy Warrington
Chris_Evans_(presenter),5.0E7,Sir Thomas Boteler Church of England High School
Chris_Hohn,1.1E9,University of Southampton
Chris_Hohn,1.1E9,Harvard Business School
Chris_Rokos,1.0,University of Oxford
Chris_Rokos,1.0,Eton College
Christoffel_Wiese,5.3E9,Paarl Boys' High School
Chung_Mong-koo,6.8E9,Hanyang University
Chung_Mong-koo,6.8E9,Hanyang University
Chung_Yong-jin,1.3E9,Brown University
C._Dean_Metropoulos,2.4E9,Babson College
Craig_McCaw,1.84E9,Stanford University
Craig_Newmark,4.0E8,Case Western Reserve University
Crispin_Odey,1.1E9,Christ Church Oxford
Cyrus_S._Poonawalla,8.5E9,Brihan Maharashtra College of Commerce
Caleb_Chan,9.8E8,University of California Berkeley
Caleb_Chan,9.8E8,University of San Francisco
Cargill_MacMillan_Jr,2.6E9,Yale University
Carl_Bennet,2.8E9,University of Gothenburg
Carl_Icahn,1.7E10,Princeton University
Carl_Icahn,1.7E10,New York University School of Medicine
Carlos_Bulgheroni,5.1E9,University of Buenos Aires
Carlos_Slim,5.3E10,Civil engineering
Carlos_Slim,5.3E10,National Autonomous University of Mexico
Chad_Hurley,3.55E8,Indiana University of Pennsylvania
Charlene_de_Carvalho-Heineken,1.34E10,Rijnlands Lyceum Foundation
Charlene_de_Carvalho-Heineken,1.34E10,Leiden University
Charles_Bartlett_Johnson,4.6E9,Yale University
Charles_Brandes,1.1E9,Bucknell University
Charles_Brandes,1.1E9,San Diego State University
Charles_Bronfman,2.1E9,McGill University
Charles_Butt,1.08E10,University of Pennsylvania
Charles_Butt,1.08E10,Harvard Business School
Charles_Cruft_(showman),30476.0,Birkbeck University of London
Charles_Cruft_(showman),30476.0,Ardingly College
Charles_D._Tandy,2.84E7,Texas Christian University
Charles_Koch,4.33E10,Massachusetts Institute of Technology
Charles_Koch,4.33E10,Master of Science
Kalanithi_Maran,3.5E9,University of Scranton
Kamarudin_Meranun,2.25E8,Universiti Teknologi MARA
Karen_Pritzker,4.3E9,Northwestern University
Karl-Johan_Persson,3.0E9,European Business School London
Kavita_Oberoi,1.0E7,University of Huddersfield
Kelcy_Warren,1.74E9,University of Texas at Arlington
Ken_Moelis,3.86E8,Wharton School of the University of Pennsylvania
Ken_Morrison,1.0E9,Bradford Grammar School
Kenneth_C._Griffin,7.3E9,Harvard University
Kenneth_Feld,1.8E9,Boston University
Kenneth_Fisher,2.7E9,Humboldt State University
Kenneth_Langone,2.7E9,Bucknell University
Kenneth_Langone,2.7E9,New York University Stern School of Business
Keshub_Mahindra,6.15E8,University of Pennsylvania
Keshub_Mahindra,6.15E8,Wharton School of the University of Pennsylvania
Kevin_Plank,3.9E9,University of Maryland College Park
Kevin_Systrom,4.0E8,Stanford University
Khoo_Teck_Puat,2.6E9,St. Joseph's Institution Singapore
Kimbal_Musk,2.5E9,Queen's University
Kirill_Shamalov,1.2E9,Saint Petersburg State University
Kith_Meng,6.0E8,Australian National University
Klaus_Tschira,6.7E9,Karlsruhe Institute of Technology
Konstantin_Kagalovsky,1.2E9,Financial University under the Government of the Russian Federation
Kris_Gopalakrishnan,1.35E9,Master of Science
Kris_Gopalakrishnan,1.35E9,Master of Engineering
Kris_Gopalakrishnan,1.35E9,Indian Institutes of Technology
Kumar_Mangalam_Birla,8.3E9,University of Mumbai
Kumar_Mangalam_Birla,8.3E9,London Business School
Kumar_Mangalam_Birla,8.3E9,Institute of Chartered Accountants of India
Kushal_Pal_Singh,2.5E9,Meerut College
Xu_Ming,4.9E8,Dongbei University of Finance and Economics
Xu_Ming,4.9E8,Shenyang Aerospace University
Xue_Xiangdong,2.3E9,Hunan University
Hiroshi_Mikitani,8.7E9,Hitotsubashi University
Hiroshi_Mikitani,8.7E9,Harvard University
Hiroshi_Yamauchi,2.5E9,Waseda University
Howard_Marks_(investor),2.0E9,University of Chicago
Howard_Marks_(investor),2.0E9,Wharton School of the University of Pennsylvania
Howard_Schultz,2.9E9,Northern Michigan University
Hyatt_Bass,2.8E8,Princeton University
Hüsnü_Özyeğin,2.7E9,Oregon State University
Hüsnü_Özyeğin,2.7E9,Harvard University
Hans_Rausing,1.25E10,Lund University
Hansjörg_Wyss,6.1E9,ETH Zurich
Hansjörg_Wyss,6.1E9,Harvard Business School
Harindarpal_Banga,1.3E9,Master mariner
Harindarpal_Banga,1.3E9,Dufferin_(school)
Harold_Simmons,1.0E10,University of Texas at Austin
Harry_Sargeant_III,1.0E9,Florida State University
Harvey_McGrath,1.0E8,St Catharine's College Cambridge
Harvey_McGrath,1.0E8,Methodist College Belfast
Hassan_Khosrowshahi,9.4E8,University of Tehran
Heather_Mills,2.43E7,Washington Tyne and Wear
Heather_Mills,2.43E7,Chestnut Grove Academy
Heinz_Bauer_(publisher),1.9E9,University of Hamburg
Helen_Walton,1.64E10,University of Oklahoma
Henadiy_Boholyubov,1.8E9,Prydniprovska State Academy of Civil Engineering and Architecture
Hennadiy_Korban,1.53E8,National Mining University of Ukraine
Henry_Hillman,2.5E9,Taft School
Henry_Hillman,2.5E9,Shady Side Academy
Henry_Kravis,4.8E9,Columbia Business School
Henry_Kravis,4.8E9,Claremont McKenna College
Henry_Nicholas,1.7E9,University of California Los Angeles
Henry_Nicholas,1.7E9,Electrical engineering
Henry_Samueli,2.4E9,University of California Los Angeles
Henry_Silverman,3.0E8,Williams College
Henry_Silverman,3.0E8,University of Pennsylvania Law School
Henry_Swieca,1.3E9,Columbia Business School
Henry_Swieca,1.3E9,Stony Brook University
Henry_Sy,1.57E10,Far Eastern University
"Herbert_Allen,_Jr.",1.5E9,Williams College
"Herbert_Kohler,_Jr.",7.4E9,Choate Rosemary Hall
Herbert_Simon_(real_estate),2.9E9,City College of New York
Hamilton_E._James,1.84E9,Choate Rosemary Hall
Vagit_Alekperov,1.14E10,Azerbaijan State University of Oil and Industry
Vardis_Vardinogiannis,7.112E8,Hellenic Naval Academy
Viatcheslav_Moshe_Kantor,2.3E9,Moscow Aviation Institute
Victor_Fung,2.9E9,Massachusetts Institute of Technology
Victor_Fung,2.9E9,Harvard Business School
Victor_Muller,7500000.0,Leiden University
Vikram_Lal,3.9E9,The Doon School
Vince_Gilligan,1.5E7,Tisch School of the Arts
Vincent_Astor,1.5E9,Harvard University
Vincent_Bolloré,7.3E9,Lycée Janson de Sailly
Vincent_Tchenguiz,8.5E8,Boston University
Vincent_Tchenguiz,8.5E8,New York University
Vincent_Tchenguiz,8.5E8,McGill University
Vincent_Viola,2.2E9,United States Military Academy
Vincent_Viola,2.2E9,New York Law School
Vinod_Khosla,1.5E9,Carnegie Mellon University
Vinod_Khosla,1.5E9,Stanford Graduate School of Business
Vinod_Khosla,1.5E9,Indian Institute of Technology Delhi
Vladimir_Aleksandrovich_Antonov,3.0E8,Plekhanov Russian University of Economics
Vladimir_Lisin,9.1E9,Siberian State Industrial University
Vladimir_Lisin,9.1E9,Russian Presidential Academy of National Economy and Public Administration
Vladimir_Makhlai,1.0E9,Perm_Polytechnic_Institute
Vladimir_Potanin,12.7,Moscow State Institute of International Relations
Patrick_Bitature,1.0E8,Institute of Chartered Secretaries and Administrators
Patrick_Bitature,1.0E8,Namasagali College
Patrick_Bitature,1.0E8,Nyakasura School
Patrick_Drahi,7.9E9,École Polytechnique
Patrick_Soon-Shiong,1.18E10,University of California Los Angeles
Patrick_Soon-Shiong,1.18E10,University of British Columbia
Patrick_Soon-Shiong,1.18E10,University of the Witwatersrand
Paul_Allen,1.76E10,Lakeside School (Seattle)
Paul_Allen,1.76E10,Washington State University
Paul_Desmarais,4.5E9,University of Ottawa
Paul_L._Foster,1.5E9,Baylor University
Paul_Singer_(businessman),2.1E9,University of Rochester
Paul_Singer_(businessman),2.1E9,Juris Doctor
Paul_Singer_(businessman),2.1E9,Bachelor of Science
Paul_Singer_(businessman),2.1E9,Harvard Law School
Paul_Tudor_Jones,4.7E9,University of Virginia
Paul_Walker,2.5E7,Village Christian Schools
Pavel_Durov,2.6E8,Saint Petersburg State University
Pavel_Tykač,1.03E9,Czech Technical University in Prague
Peter_B._Lewis,1.25E9,Princeton University
Peter_Buck_(restaurateur),2.6E9,Columbia University
Peter_Buck_(restaurateur),2.6E9,Bowdoin College
Peter_Buck_(restaurateur),2.6E9,Doctor of Humane Letters
Peter_Hargreaves,2.39E9,Clitheroe Royal Grammar School
Peter_Livanos,7.0E9,Columbia University
Peter_Lynch,3.52E8,Boston College
Peter_Lynch,3.52E8,Wharton School of the University of Pennsylvania
Petr_Kellner,1.08E10,University of Economics Prague
Phaedra_Parks,2000000.0,Clarke Central High School
Phaedra_Parks,2000000.0,Wesleyan College
Phaedra_Parks,2000000.0,Juris Doctor
Phaedra_Parks,2000000.0,Bachelor of Arts
Phaedra_Parks,2000000.0,University of Georgia School of Law
P._N._C._Menon,1.23E9,Sree Kerala Varma College
Pankaj_Patel,4.1E9,Gujarat University
Pansy_Ho,6.4E9,Santa Clara University
Pat_Ryan_(executive),2.5E9,Northwestern University
Patrice_Motsepe,2.9E9,University of the Witwatersrand
Patrice_Motsepe,2.9E9,University of Swaziland
Patricia_Matte,2.8E9,Pontifical Catholic University of Chile
Phil_Knight,2.81E10,Stanford University
Phil_Knight,2.81E10,University of Oregon
Philip_Anschutz,1.01E10,University of Kansas
Phillip_Ean_Cohen,500.0,University of Melbourne
Phillip_Ean_Cohen,500.0,Harvard Business School
Phillip_Frost,4.9E9,Physician
Phillip_Frost,4.9E9,Bachelor of Arts
Poju_Zabludowicz,1.5E9,Tel Aviv University
Prem_Watsa,1.0E9,University of Western Ontario
Prem_Watsa,1.0E9,Indian Institute of Technology Madras
Pyotr_Aven,6.4E9,Moscow State University
Zhang_Jindong,5.5E9,Nanjing Normal University
Zhang_Xin_(businesswoman),3.6E9,University of Sussex
Zhang_Xin_(businesswoman),3.6E9,University of Cambridge
Zhang_Zhixiang,2.8E9,Zhejiang University
Zhou_Chengjian,1.9E9,Zhejiang University
Zhou_Hongyi,1.4E9,Xi'an Jiaotong University
Ziyavudin_Magomedov,3.0E9,Moscow State University
A._Alfred_Taubman,3.1E9,Lawrence Technological University
A._Alfred_Taubman,3.1E9,Taubman College of Architecture and Urban Planning
"Amos_Hostetter,_Jr.",3.2E9,Amherst College
