education,country,education_count
Hobart and William Smith Colleges,USA,1
Holy Cross High School (River Grove Illinois),NA,1
Holy Names University,USA,1
Honorary_Degree_Doctor_of_Entrepreneurship,NA,1
Hotchkiss School,NA,4
Humboldt State University,USA,2
Humboldt University of Berlin,Germany,1
Hunan University,China,1
Hunter College,USA,1
INSEAD,France,2
Ibadan Grammar School,NA,1
Illinois Institute of Technology,USA,1
Imperial College London,UK,4
Indian Institute of Management Calcutta,India,1
Indian Institute of Technology Bombay,India,3
Indian Institute of Technology Delhi,India,5
Indian Institute of Technology Kanpur,India,1
Indian Institute of Technology Kharagpur,India,1
Indian Institute of Technology Madras,India,1
Indian Institutes of Technology,India,1
Indiana University,USA,2
Indiana University Bloomington,USA,1
Indiana University of Pennsylvania,USA,1
Institut Le Rosey,NA,1
Institute of Chartered Accountants of India,NA,2
Institute of Chartered Secretaries and Administrators,NA,1
Institute of Chemical Technology,India,1
Institute of Cryptography Telecommunications and Computer Science,Russia,1
Instituto Tecnológico Autónomo de México,Mexico,1
International Institute for Management Development,NA,1
Inverness Royal Academy,NA,1
Ion Mincu University of Architecture and Urbanism,Romania,1
Istanbul University,Turkey,1
Istituto Elvetico Salesiani Don Bosco,NA,1
Istituto Superiore per le Industrie Artistiche,Italy,1
Ithaca College,USA,1
Jefferson Union High School District,NA,1
Jiangxi University of Finance and Economics,China,1
Johns Hopkins University,USA,3
Journeys School,NA,1
Juris Doctor,NA,8
Kalamazoo College,USA,1
Karachi Grammar School,NA,1
Karlsruhe Institute of Technology,Germany,1
Keio University,Japan,1
Kelley School of Business,USA,1
Kenya School of Law,Kenya,1
King Abdulaziz University,Saudi Arabia,1
King Saud University,Saudi Arabia,1
King's College London,UK,2
King's College School,NA,1
Kuibyshev_Civil_Engineering_Institute,Russia,1
La Pietra,NA,1
Lady Margaret Hall Oxford,UK,1
Laguna Beach High School,NA,1
Lakefield College School,NA,1
Lakeside School (Seattle),NA,1
Laval University,Canada,2
Lawrence School Lovedale,NA,1
Lawrence Technological University,USA,1
Lawrenceville School,NA,1
Leeds West Academy,NA,1
Leiden University,Netherlands,2
Leningrad_Shipbuilding_Institute,Russia,1
Lexington Senior High School (North Carolina),NA,1
Liaoning University,China,1
Liberal arts education,NA,1
Lincoln University (Missouri),USA,1
Lisgar Collegiate Institute,NA,1
List of places in Cardiff,NA,1
London Business School,UK,4
London School of Economics,UK,8
Long Beach City College,USA,1
Long Island University,USA,1
Longwood University,USA,1
Loyola University Chicago,USA,2
Loyola University New Orleans,USA,1
Lund University,NA,1
Lviv Academy of Commerce,Ukraine,1
Lycée Janson de Sailly,NA,1
Lycée_de_l'Immaculée-Conception,NA,1
MIT Sloan School of Management,USA,3
Macquarie University,Australia,1
Madras Christian College,India,1
Madrid,NA,1
Manchester,NA,1
Manchester Grammar School,NA,2
Manipal Institute of Technology,India,1
Marlborough College,NA,1
Marmara University,Turkey,1
Marshall University,USA,2
Martin Luther University of Halle-Wittenberg,Germany,1
Massachusetts Institute of Technology,USA,13
Master mariner,NA,1
Master of Arts,NA,1
Master of Arts (Oxbridge and Dublin),NA,1
Master of Business Administration,NA,9
Master of Engineering,NA,1
Master of Fine Arts,NA,1
Master of Science,NA,7
McGill University,Canada,6
Mechanical engineering,NA,2
Meerut College,India,1
Menlo College,USA,2
Merchiston Castle School,NA,1
Met Film School,UK,1
Metallurgy,NA,1
Methodist College Belfast,NA,1
Miami University,USA,2
Michigan State University,USA,7
Middle Ages,NA,1
Middle East Technical University,Turkey,1
Middlebury College,USA,2
Mill Hill School,NA,1
Millfield,NA,1
Milton Academy,NA,1
Miss Hall's School,NA,1
Missouri University of Science and Technology,USA,2
Modern language,NA,1
Monash University,Australia,1
Monterrey Institute of Technology and Higher Education,Mexico,2
Moscow Aviation Institute,Russia,1
Moscow State Institute of International Relations,Russia,3
Moscow State University,Russia,9
Moscow State University of Railway Engineering,Russia,2
Mount Roskill Grammar School,NA,1
Mount Scopus Memorial College,NA,2
Munster High School,NA,1
Nagoya University,Japan,1
Namasagali College,NA,1
Nanjing Normal University,China,1
Nanjing University,China,1
Nanjing University of Chinese Medicine,China,1
Nanyang Technological University,Singapore,1
National Autonomous University of Mexico,Mexico,1
National Mining University of Ukraine,Ukraine,1
National Taiwan University,Taiwan,1
National University (California),USA,1
National University of Colombia,USA,1
National University of Singapore,Singapore,1
National_Medical_School,NA,1
Naval architecture,NA,1
New Jersey City University,USA,1
New York City,NA,1
New York Law School,USA,3
New York University,USA,13
New York University School of Medicine,USA,1
New York University Stern School of Business,USA,2
New Zealand,NA,1
Nihon University,China,1
North Carolina State University,USA,1
North Shore Country Day School,NA,1
Northeastern University,USA,5
Northern Michigan University,USA,1
Northern State University,USA,1
Northumbria University,UK,2
Northwestern Oklahoma State University,USA,1
Northwestern University,USA,7
